sentence,label
Reports joint pain with no known trigger.,subjective
Describes nausea and nausea occurring mostly in the evening.,subjective
States feeling numb after waking up.,subjective
States feeling weak after climbing stairs.,subjective
Complains of shortness of breath worsening over 2 days.,subjective
Complains of shortness of breath worsening over since yesterday.,subjective
Complains of dizziness worsening over 1 week.,subjective
Describes fatigue and fatigue occurring mostly in the morning.,subjective
The patient reports shortness of breath for the past a few minutes.,subjective
Reports dizziness with no known trigger.,subjective
Describes fatigue and fatigue occurring mostly in the afternoon.,subjective
Complains of shortness of breath worsening over several months.,subjective
The patient reports fatigue for the past several months.,subjective
States feeling dizzy after exercise.,subjective
The patient reports fatigue for the past 1 week.,subjective
Reports fatigue with no known trigger.,subjective
Reports nausea with no known trigger.,subjective
States feeling dizzy after exercise.,subjective
Describes nausea and nausea occurring mostly in the morning.,subjective
Describes headache and headache occurring mostly in the morning.,subjective
Complains of shortness of breath worsening over 2 days.,subjective
The patient reports nausea for the past a few minutes.,subjective
Complains of headache worsening over 2 days.,subjective
Complains of headache worsening over a few minutes.,subjective
Physical exam revealed swollen joints.,objective
Oxygen saturation at 98% on room air.,objective
Physical exam revealed decreased breath sounds.,objective
Blood pressure measured at 98 mmHg.,objective
Heart rate is 98 bpm and regular.,objective
Temperature recorded as 36.7°C.,objective
Temperature recorded as 96°C.,objective
Oxygen saturation at 120/80% on room air.,objective
Heart rate is 120/80 bpm and regular.,objective
Blood pressure measured at 98 mmHg.,objective
Physical exam revealed rash on forearm.,objective
Heart rate is 120/80 bpm and regular.,objective
Temperature recorded as 120/80°C.,objective
Temperature recorded as 75°C.,objective
Physical exam revealed rash on forearm.,objective
Blood pressure measured at 38.3 mmHg.,objective
Physical exam revealed abdominal tenderness.,objective
Heart rate is 98 bpm and regular.,objective
Blood pressure measured at 98 mmHg.,objective
Temperature recorded as 36.7°C.,objective
Blood pressure measured at 38.3 mmHg.,objective
Oxygen saturation at 36.7% on room air.,objective
Heart rate is 120/80 bpm and regular.,objective
Temperature recorded as 38.3°C.,objective
Physical exam revealed swollen joints.,objective
Oxygen saturation at 120/80% on room air.,objective
Temperature recorded as 120/80°C.,objective
Oxygen saturation at 120/80% on room air.,objective
Physical exam revealed swollen joints.,objective
Oxygen saturation at 120/80% on room air.,objective
Heart rate is 96 bpm and regular.,objective
Physical exam revealed decreased breath sounds.,objective
Temperature recorded as 75°C.,objective
Temperature recorded as 75°C.,objective
Blood pressure measured at 38.3 mmHg.,objective
Temperature recorded as 36.7°C.,objective
Physical exam revealed swollen joints.,objective
Blood pressure measured at 36.7 mmHg.,objective
Blood pressure measured at 36.7 mmHg.,objective
Temperature recorded as 120/80°C.,objective
Temperature recorded as 98°C.,objective
Physical exam revealed abdominal tenderness.,objective
Blood pressure measured at 36.7 mmHg.,objective
Heart rate is 38.3 bpm and regular.,objective
Physical exam revealed abdominal tenderness.,objective
Oxygen saturation at 75% on room air.,objective
Oxygen saturation at 120/80% on room air.,objective
Blood pressure measured at 75 mmHg.,objective
Temperature recorded as 120/80°C.,objective
Temperature recorded as 120/80°C.,objective
Oxygen saturation at 120/80% on room air.,objective
Physical exam revealed decreased breath sounds.,objective
Temperature recorded as 98°C.,objective
Blood pressure measured at 75 mmHg.,objective
Heart rate is 120/80 bpm and regular.,objective
Physical exam revealed swollen joints.,objective
Heart rate is 75 bpm and regular.,objective
Oxygen saturation at 96% on room air.,objective
Blood pressure measured at 75 mmHg.,objective
Physical exam revealed rash on forearm.,objective
Oxygen saturation at 98% on room air.,objective
Heart rate is 75 bpm and regular.,objective
Oxygen saturation at 38.3% on room air.,objective
Temperature recorded as 38.3°C.,objective
Temperature recorded as 75°C.,objective
Oxygen saturation at 36.7% on room air.,objective
Physical exam revealed abdominal tenderness.,objective
Physical exam revealed rash on forearm.,objective
Temperature recorded as 98°C.,objective
Temperature recorded as 38.3°C.,objective
Physical exam revealed abdominal tenderness.,objective
Heart rate is 75 bpm and regular.,objective
Oxygen saturation at 96% on room air.,objective
Physical exam revealed abdominal tenderness.,objective
Physical exam revealed swollen joints.,objective
Temperature recorded as 96°C.,objective
Blood pressure measured at 98 mmHg.,objective
Blood pressure measured at 120/80 mmHg.,objective
Oxygen saturation at 38.3% on room air.,objective
Blood pressure measured at 36.7 mmHg.,objective
Temperature recorded as 38.3°C.,objective
Heart rate is 98 bpm and regular.,objective
Heart rate is 120/80 bpm and regular.,objective
Oxygen saturation at 96% on room air.,objective
Oxygen saturation at 38.3% on room air.,objective
Oxygen saturation at 96% on room air.,objective
Oxygen saturation at 75% on room air.,objective
Physical exam revealed swollen joints.,objective
Temperature recorded as 98°C.,objective
Physical exam revealed abdominal tenderness.,objective
Blood pressure measured at 120/80 mmHg.,objective
Oxygen saturation at 96% on room air.,objective
Heart rate is 96 bpm and regular.,objective
Physical exam revealed decreased breath sounds.,objective
Temperature recorded as 96°C.,objective
Physical exam revealed rash on forearm.,objective
Temperature recorded as 38.3°C.,objective
Physical exam revealed swollen joints.,objective
Temperature recorded as 38.3°C.,objective
Blood pressure measured at 96 mmHg.,objective
Temperature recorded as 36.7°C.,objective
Physical exam revealed swollen joints.,objective
Oxygen saturation at 96% on room air.,objective
Oxygen saturation at 96% on room air.,objective
Heart rate is 38.3 bpm and regular.,objective
Physical exam revealed swollen joints.,objective
Heart rate is 38.3 bpm and regular.,objective
Heart rate is 38.3 bpm and regular.,objective
Blood pressure measured at 38.3 mmHg.,objective
Oxygen saturation at 120/80% on room air.,objective
Physical exam revealed abdominal tenderness.,objective
Oxygen saturation at 120/80% on room air.,objective
Oxygen saturation at 38.3% on room air.,objective
Oxygen saturation at 75% on room air.,objective
Heart rate is 96 bpm and regular.,objective
Oxygen saturation at 98% on room air.,objective
Heart rate is 120/80 bpm and regular.,objective
Blood pressure measured at 75 mmHg.,objective
Oxygen saturation at 75% on room air.,objective
Oxygen saturation at 36.7% on room air.,objective
Heart rate is 75 bpm and regular.,objective
Temperature recorded as 36.7°C.,objective
Blood pressure measured at 98 mmHg.,objective
Temperature recorded as 96°C.,objective
Blood pressure measured at 96 mmHg.,objective
Temperature recorded as 98°C.,objective
Blood pressure measured at 38.3 mmHg.,objective
Temperature recorded as 96°C.,objective
Oxygen saturation at 38.3% on room air.,objective
Oxygen saturation at 36.7% on room air.,objective
Blood pressure measured at 98 mmHg.,objective
Blood pressure measured at 36.7 mmHg.,objective
Heart rate is 98 bpm and regular.,objective
Physical exam revealed swollen joints.,objective
Blood pressure measured at 120/80 mmHg.,objective
Oxygen saturation at 75% on room air.,objective
Temperature recorded as 98°C.,objective
Physical exam revealed rash on forearm.,objective
Temperature recorded as 75°C.,objective
Heart rate is 38.3 bpm and regular.,objective
Heart rate is 96 bpm and regular.,objective
Physical exam revealed rash on forearm.,objective
Oxygen saturation at 38.3% on room air.,objective
Temperature recorded as 120/80°C.,objective
Physical exam revealed abdominal tenderness.,objective
Temperature recorded as 96°C.,objective
Blood pressure measured at 38.3 mmHg.,objective
Physical exam revealed decreased breath sounds.,objective
Oxygen saturation at 36.7% on room air.,objective
Blood pressure measured at 98 mmHg.,objective
Physical exam revealed rash on forearm.,objective
Oxygen saturation at 98% on room air.,objective
Oxygen saturation at 98% on room air.,objective
Blood pressure measured at 120/80 mmHg.,objective
Oxygen saturation at 75% on room air.,objective
Heart rate is 38.3 bpm and regular.,objective
Oxygen saturation at 96% on room air.,objective
Physical exam revealed decreased breath sounds.,objective
Blood pressure measured at 38.3 mmHg.,objective
Oxygen saturation at 96% on room air.,objective
Physical exam revealed abdominal tenderness.,objective
Physical exam revealed rash on forearm.,objective
Physical exam revealed rash on forearm.,objective
Physical exam revealed decreased breath sounds.,objective
Oxygen saturation at 98% on room air.,objective
Physical exam revealed decreased breath sounds.,objective
Heart rate is 98 bpm and regular.,objective
Oxygen saturation at 98% on room air.,objective
Oxygen saturation at 36.7% on room air.,objective
Temperature recorded as 96°C.,objective
Oxygen saturation at 120/80% on room air.,objective
Physical exam revealed abdominal tenderness.,objective
Temperature recorded as 36.7°C.,objective
Oxygen saturation at 38.3% on room air.,objective
Physical exam revealed swollen joints.,objective
Heart rate is 75 bpm and regular.,objective
Oxygen saturation at 75% on room air.,objective
Temperature recorded as 120/80°C.,objective
Blood pressure measured at 120/80 mmHg.,objective
Oxygen saturation at 98% on room air.,objective
Heart rate is 75 bpm and regular.,objective
Blood pressure measured at 98 mmHg.,objective
Temperature recorded as 38.3°C.,objective
Blood pressure measured at 120/80 mmHg.,objective
Physical exam revealed rash on forearm.,objective
Oxygen saturation at 120/80% on room air.,objective
Temperature recorded as 36.7°C.,objective
Oxygen saturation at 36.7% on room air.,objective
Physical exam revealed decreased breath sounds.,objective
Physical exam revealed swollen joints.,objective
Temperature recorded as 75°C.,objective
Heart rate is 96 bpm and regular.,objective
Heart rate is 96 bpm and regular.,objective
Physical exam revealed rash on forearm.,objective
Oxygen saturation at 96% on room air.,objective
Temperature recorded as 96°C.,objective
Heart rate is 38.3 bpm and regular.,objective
Heart rate is 96 bpm and regular.,objective
Oxygen saturation at 98% on room air.,objective
Physical exam revealed swollen joints.,objective
Heart rate is 120/80 bpm and regular.,objective
Blood pressure measured at 36.7 mmHg.,objective
Physical exam revealed swollen joints.,objective
Physical exam revealed abdominal tenderness.,objective
Blood pressure measured at 98 mmHg.,objective
Physical exam revealed swollen joints.,objective
Physical exam revealed swollen joints.,objective
Blood pressure measured at 120/80 mmHg.,objective
Heart rate is 75 bpm and regular.,objective
Heart rate is 98 bpm and regular.,objective
Physical exam revealed abdominal tenderness.,objective
Blood pressure measured at 75 mmHg.,objective
Blood pressure measured at 96 mmHg.,objective
Oxygen saturation at 38.3% on room air.,objective
Blood pressure measured at 75 mmHg.,objective
Blood pressure measured at 38.3 mmHg.,objective
Physical exam revealed swollen joints.,objective
Blood pressure measured at 96 mmHg.,objective
Temperature recorded as 36.7°C.,objective
Oxygen saturation at 75% on room air.,objective
Heart rate is 96 bpm and regular.,objective
Temperature recorded as 96°C.,objective
Physical exam revealed decreased breath sounds.,objective
Heart rate is 38.3 bpm and regular.,objective
Physical exam revealed swollen joints.,objective
Oxygen saturation at 75% on room air.,objective
Physical exam revealed swollen joints.,objective
Physical exam revealed decreased breath sounds.,objective
Oxygen saturation at 96% on room air.,objective
Physical exam revealed decreased breath sounds.,objective
Temperature recorded as 75°C.,objective
Blood pressure measured at 38.3 mmHg.,objective
Heart rate is 98 bpm and regular.,objective
Physical exam revealed abdominal tenderness.,objective
Oxygen saturation at 38.3% on room air.,objective
Temperature recorded as 98°C.,objective
Temperature recorded as 98°C.,objective
Physical exam revealed rash on forearm.,objective
Oxygen saturation at 96% on room air.,objective
Physical exam revealed rash on forearm.,objective
Physical exam revealed abdominal tenderness.,objective
Heart rate is 96 bpm and regular.,objective
Heart rate is 38.3 bpm and regular.,objective
Blood pressure measured at 98 mmHg.,objective
Heart rate is 120/80 bpm and regular.,objective
Oxygen saturation at 36.7% on room air.,objective
Blood pressure measured at 96 mmHg.,objective
Physical exam revealed abdominal tenderness.,objective
Oxygen saturation at 98% on room air.,objective
Physical exam revealed swollen joints.,objective
Likely diagnosis is hypertension.,assessment
Clinical picture is consistent with hypertension.,assessment
Patient appears to have bronchitis with complications.,assessment
Clinical picture is consistent with bronchitis.,assessment
Likely diagnosis is diabetes mellitus.,assessment
Clinical picture is consistent with hypertension.,assessment
Clinical picture is consistent with hypertension.,assessment
Likely diagnosis is viral infection.,assessment
Likely diagnosis is bronchitis.,assessment
Differential includes hypertension and hypertension.,assessment
Clinical picture is consistent with viral infection.,assessment
Clinical picture is consistent with viral infection.,assessment
Likely diagnosis is hypertension.,assessment
Likely diagnosis is migraine.,assessment
Differential includes diabetes mellitus and diabetes mellitus.,assessment
Likely diagnosis is migraine.,assessment
Symptoms suggest bronchitis.,assessment
Symptoms suggest hypertension.,assessment
Likely diagnosis is hypertension.,assessment
Clinical picture is consistent with hypertension.,assessment
Patient appears to have viral infection with complications.,assessment
Symptoms suggest hypertension.,assessment
Clinical picture is consistent with bronchitis.,assessment
Differential includes bronchitis and bronchitis.,assessment
Differential includes migraine and migraine.,assessment
Likely diagnosis is viral infection.,assessment
Differential includes migraine and migraine.,assessment
Symptoms suggest migraine.,assessment
Patient appears to have migraine with complications.,assessment
Symptoms suggest bronchitis.,assessment
Differential includes diabetes mellitus and diabetes mellitus.,assessment
Likely diagnosis is hypertension.,assessment
Differential includes bronchitis and bronchitis.,assessment
Likely diagnosis is viral infection.,assessment
Clinical picture is consistent with hypertension.,assessment
Symptoms suggest bronchitis.,assessment
Clinical picture is consistent with migraine.,assessment
Likely diagnosis is hypertension.,assessment
Symptoms suggest hypertension.,assessment
Likely diagnosis is migraine.,assessment
Symptoms suggest bronchitis.,assessment
Likely diagnosis is migraine.,assessment
Patient appears to have migraine with complications.,assessment
Clinical picture is consistent with viral infection.,assessment
Symptoms suggest hypertension.,assessment
Likely diagnosis is bronchitis.,assessment
Clinical picture is consistent with hypertension.,assessment
Patient appears to have viral infection with complications.,assessment
Clinical picture is consistent with viral infection.,assessment
Differential includes migraine and migraine.,assessment
Differential includes diabetes mellitus and diabetes mellitus.,assessment
Symptoms suggest bronchitis.,assessment
Patient appears to have bronchitis with complications.,assessment
Clinical picture is consistent with bronchitis.,assessment
Differential includes hypertension and hypertension.,assessment
Likely diagnosis is bronchitis.,assessment
Symptoms suggest hypertension.,assessment
Likely diagnosis is migraine.,assessment
Symptoms suggest migraine.,assessment
Differential includes hypertension and hypertension.,assessment
Clinical picture is consistent with migraine.,assessment
Symptoms suggest bronchitis.,assessment
Differential includes viral infection and viral infection.,assessment
Differential includes hypertension and hypertension.,assessment
Patient appears to have diabetes mellitus with complications.,assessment
Differential includes migraine and migraine.,assessment
Clinical picture is consistent with viral infection.,assessment
Likely diagnosis is viral infection.,assessment
Clinical picture is consistent with hypertension.,assessment
Symptoms suggest bronchitis.,assessment
Patient appears to have viral infection with complications.,assessment
Symptoms suggest bronchitis.,assessment
Likely diagnosis is viral infection.,assessment
Clinical picture is consistent with viral infection.,assessment
Likely diagnosis is bronchitis.,assessment
Likely diagnosis is viral infection.,assessment
Patient appears to have diabetes mellitus with complications.,assessment
Symptoms suggest diabetes mellitus.,assessment
Clinical picture is consistent with hypertension.,assessment
Clinical picture is consistent with bronchitis.,assessment
Likely diagnosis is migraine.,assessment
Symptoms suggest hypertension.,assessment
Differential includes viral infection and viral infection.,assessment
Patient appears to have migraine with complications.,assessment
Patient appears to have migraine with complications.,assessment
Clinical picture is consistent with bronchitis.,assessment
Symptoms suggest hypertension.,assessment
Symptoms suggest viral infection.,assessment
Likely diagnosis is hypertension.,assessment
Clinical picture is consistent with migraine.,assessment
Symptoms suggest bronchitis.,assessment
Differential includes bronchitis and bronchitis.,assessment
Symptoms suggest diabetes mellitus.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Patient appears to have hypertension with complications.,assessment
Patient appears to have viral infection with complications.,assessment
Likely diagnosis is viral infection.,assessment
Patient appears to have viral infection with complications.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Likely diagnosis is migraine.,assessment
Symptoms suggest viral infection.,assessment
Differential includes migraine and migraine.,assessment
Clinical picture is consistent with viral infection.,assessment
Differential includes bronchitis and bronchitis.,assessment
Differential includes migraine and migraine.,assessment
Likely diagnosis is bronchitis.,assessment
Differential includes diabetes mellitus and diabetes mellitus.,assessment
Symptoms suggest diabetes mellitus.,assessment
Clinical picture is consistent with viral infection.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Differential includes hypertension and hypertension.,assessment
Clinical picture is consistent with hypertension.,assessment
Likely diagnosis is hypertension.,assessment
Likely diagnosis is diabetes mellitus.,assessment
Symptoms suggest bronchitis.,assessment
Likely diagnosis is diabetes mellitus.,assessment
Likely diagnosis is diabetes mellitus.,assessment
Clinical picture is consistent with viral infection.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Patient appears to have bronchitis with complications.,assessment
Symptoms suggest diabetes mellitus.,assessment
Likely diagnosis is viral infection.,assessment
Differential includes diabetes mellitus and diabetes mellitus.,assessment
Differential includes viral infection and viral infection.,assessment
Likely diagnosis is hypertension.,assessment
Symptoms suggest viral infection.,assessment
Symptoms suggest viral infection.,assessment
Patient appears to have bronchitis with complications.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Symptoms suggest hypertension.,assessment
Likely diagnosis is bronchitis.,assessment
Clinical picture is consistent with viral infection.,assessment
Symptoms suggest hypertension.,assessment
Differential includes hypertension and hypertension.,assessment
Differential includes bronchitis and bronchitis.,assessment
Symptoms suggest viral infection.,assessment
Likely diagnosis is viral infection.,assessment
Differential includes migraine and migraine.,assessment
Likely diagnosis is viral infection.,assessment
Symptoms suggest hypertension.,assessment
Differential includes viral infection and viral infection.,assessment
Patient appears to have diabetes mellitus with complications.,assessment
Differential includes bronchitis and bronchitis.,assessment
Clinical picture is consistent with migraine.,assessment
Differential includes migraine and migraine.,assessment
Clinical picture is consistent with bronchitis.,assessment
Symptoms suggest viral infection.,assessment
Symptoms suggest viral infection.,assessment
Clinical picture is consistent with migraine.,assessment
Differential includes viral infection and viral infection.,assessment
Likely diagnosis is viral infection.,assessment
Symptoms suggest hypertension.,assessment
Likely diagnosis is viral infection.,assessment
Likely diagnosis is viral infection.,assessment
Likely diagnosis is diabetes mellitus.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Likely diagnosis is migraine.,assessment
Likely diagnosis is migraine.,assessment
Symptoms suggest migraine.,assessment
Patient appears to have viral infection with complications.,assessment
Differential includes hypertension and hypertension.,assessment
Symptoms suggest bronchitis.,assessment
Patient appears to have diabetes mellitus with complications.,assessment
Differential includes viral infection and viral infection.,assessment
Likely diagnosis is migraine.,assessment
Differential includes migraine and migraine.,assessment
Symptoms suggest viral infection.,assessment
Patient appears to have hypertension with complications.,assessment
Differential includes viral infection and viral infection.,assessment
Patient appears to have bronchitis with complications.,assessment
Patient appears to have migraine with complications.,assessment
Differential includes hypertension and hypertension.,assessment
Clinical picture is consistent with diabetes mellitus.,assessment
Differential includes migraine and migraine.,assessment
Patient appears to have viral infection with complications.,assessment
Likely diagnosis is diabetes mellitus.,assessment
